PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27012973","Often seen, rarely recognized: mast cell activation disease--a guide to diagnosis and therapeutic options","Afrin LB, Butterfield JH, Raithel M, Molderings GJ.","Ann Med. 2016;48(3):190-201. doi: 10.3109/07853890.2016.1161231. Epub 2016 Mar 25.","Afrin LB","Ann Med","2016","2016/03/26","","","10.3109/07853890.2016.1161231"
"37243761","A survey of the currently known mast cell mediators with potential relevance for therapy of mast cell-induced symptoms","Molderings GJ, Afrin LB.","Naunyn Schmiedebergs Arch Pharmacol. 2023 May 27. doi: 10.1007/s00210-023-02545-y. Online ahead of print.","Molderings GJ","Naunyn Schmiedebergs Arch Pharmacol","2023","2023/05/27","","","10.1007/s00210-023-02545-y"
"36043493","The potential role of ischaemia-reperfusion injury in chronic, relapsing diseases such as rheumatoid arthritis, Long COVID, and ME/CFS: evidence, mechanisms, and therapeutic implications","Kell DB, Pretorius E.","Biochem J. 2022 Aug 31;479(16):1653-1708. doi: 10.1042/BCJ20220154.","Kell DB","Biochem J","2022","2022/08/31","PMC9484810","","10.1042/BCJ20220154"
"35982335","Efficacy and toxicity of hydroxyurea in mast cell activation syndrome patients refractory to standard medical therapy: retrospective case series","Weinstock LB, Brook JB, Molderings GJ.","Naunyn Schmiedebergs Arch Pharmacol. 2022 Nov;395(11):1441-1447. doi: 10.1007/s00210-022-02282-8. Epub 2022 Aug 19.","Weinstock LB","Naunyn Schmiedebergs Arch Pharmacol","2022","2022/08/18","PMC9388361","","10.1007/s00210-022-02282-8"
"35736349","Connecting the Dots in Emerging Mast Cell Research: Do Factors Affecting Mast Cell Activation Provide a Missing Link between Adverse COVID-19 Outcomes and the Social Determinants of Health?","da Silveira Gorman R, Syed IU.","Med Sci (Basel). 2022 May 28;10(2):29. doi: 10.3390/medsci10020029.","da Silveira Gorman R","Med Sci (Basel)","2022","2022/06/23","PMC9228930","","10.3390/medsci10020029"
"35174041","Evaluation and Classification of Mast Cell Disorders: A Difficult to Manage Pathology in Clinical Practice","Leru PM.","Cureus. 2022 Feb 13;14(2):e22177. doi: 10.7759/cureus.22177. eCollection 2022 Feb.","Leru PM","Cureus","2022","2022/02/17","PMC8841127","","10.7759/cureus.22177"
"35062788","Post-HPV-Vaccination Mast Cell Activation Syndrome: Possible Vaccine-Triggered Escalation of Undiagnosed Pre-Existing Mast Cell Disease?","Afrin LB, Dempsey TT, Weinstock LB.","Vaccines (Basel). 2022 Jan 16;10(1):127. doi: 10.3390/vaccines10010127.","Afrin LB","Vaccines (Basel)","2022","2022/01/22","PMC8779641","","10.3390/vaccines10010127"
"34445665","Effects of Primary Mast Cell Disease on Hemostasis and Erythropoiesis","Seidel H, Hertfelder HJ, Oldenburg J, Kruppenbacher JP, Afrin LB, Molderings GJ.","Int J Mol Sci. 2021 Aug 20;22(16):8960. doi: 10.3390/ijms22168960.","Seidel H","Int J Mol Sci","2021","2021/08/27","PMC8396658","","10.3390/ijms22168960"
"32920235","Covid-19 hyperinflammation and post-Covid-19 illness may be rooted in mast cell activation syndrome","Afrin LB, Weinstock LB, Molderings GJ.","Int J Infect Dis. 2020 Nov;100:327-332. doi: 10.1016/j.ijid.2020.09.016. Epub 2020 Sep 10.","Afrin LB","Int J Infect Dis","2020","2020/09/13","PMC7529115","","10.1016/j.ijid.2020.09.016"
"32377770","Adrenal insufficiency is a contraindication for omalizumab therapy in mast cell activation disease: risk for serum sickness","Molderings GJ, Dumoulin FL, Homann J, Sido B, Textor J, Mücke M, Qagish GJ, Barion R, Raithel M, Klingmüller D, Schäfer VS, Hertfelder HJ, Berdel D, Tridente G, Weinstock LB, Afrin LB.","Naunyn Schmiedebergs Arch Pharmacol. 2020 Sep;393(9):1573-1580. doi: 10.1007/s00210-020-01886-2. Epub 2020 May 6.","Molderings GJ","Naunyn Schmiedebergs Arch Pharmacol","2020","2020/05/08","PMC7419348","","10.1007/s00210-020-01886-2"
"32328892","Mast Cell Activation Syndrome: A Primer for the Gastroenterologist","Weinstock LB, Pace LA, Rezaie A, Afrin LB, Molderings GJ.","Dig Dis Sci. 2021 Apr;66(4):965-982. doi: 10.1007/s10620-020-06264-9. Epub 2020 Apr 23.","Weinstock LB","Dig Dis Sci","2021","2020/04/25","","","10.1007/s10620-020-06264-9"
