PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22041891","Definitions, criteria and global classification of mast cell disorders with special reference to mast cell activation syndromes: a consensus proposal","Valent P, Akin C, Arock M, Brockow K, Butterfield JH, Carter MC, Castells M, Escribano L, Hartmann K, Lieberman P, Nedoszytko B, Orfao A, Schwartz LB, Sotlar K, Sperr WR, Triggiani M, Valenta R, Horny HP, Metcalfe DD.","Int Arch Allergy Immunol. 2012;157(3):215-25. doi: 10.1159/000328760. Epub 2011 Oct 27.","Valent P","Int Arch Allergy Immunol","2012","2011/11/02","PMC3224511","","10.1159/000328760"
"37255928","Autoimmunity in Long Covid and POTS","El-Rhermoul FZ, Fedorowski A, Eardley P, Taraborrelli P, Panagopoulos D, Sutton R, Lim PB, Dani M.","Oxf Open Immunol. 2023 Mar 8;4(1):iqad002. doi: 10.1093/oxfimm/iqad002. eCollection 2023.","El-Rhermoul FZ","Oxf Open Immunol","2023","2023/05/31","PMC10224806","","10.1093/oxfimm/iqad002"
"37233729","Immune mechanisms underlying COVID-19 pathology and post-acute sequelae of SARS-CoV-2 infection (PASC)","Mohandas S, Jagannathan P, Henrich TJ, Sherif ZA, Bime C, Quinlan E, Portman MA, Gennaro M, Rehman J; RECOVER Mechanistic Pathways Task Force.","Elife. 2023 May 26;12:e86014. doi: 10.7554/eLife.86014.","Mohandas S","Elife","2023","2023/05/26","PMC10219649","","10.7554/eLife.86014"
"37120585","Life-threatening chlorhexidine anaphylaxis caused by skin preparation before chlorhexidine-free central venous catheter insertion: a case report and literature review","Amano Y, Matsuura A, Tamura T, Kato Y, Kameyama N, Takazawa T, Nishiwaki K.","J Anesth. 2023 Jun;37(3):474-481. doi: 10.1007/s00540-023-03189-1. Epub 2023 Apr 29.","Amano Y","J Anesth","2023","2023/04/29","","","10.1007/s00540-023-03189-1"
"37108184","The Role of Mast Cells in the Induction and Maintenance of Inflammation in Selected Skin Diseases","Woźniak E, Owczarczyk-Saczonek A, Lange M, Czarny J, Wygonowska E, Placek W, Nedoszytko B.","Int J Mol Sci. 2023 Apr 10;24(8):7021. doi: 10.3390/ijms24087021.","Woźniak E","Int J Mol Sci","2023","2023/04/28","PMC10139379","","10.3390/ijms24087021"
"37105564","Recent advances in diagnosis and therapy in systemic mastocytosis","Lee HJ.","Blood Res. 2023 Apr 30;58(S1):96-108. doi: 10.5045/br.2023.2023024.","Lee HJ","Blood Res","2023","2023/04/27","PMC10133845","","10.5045/br.2023.2023024"
"37071243","Addressing Controversies in Mast Cell Activation Syndrome: Analysis Using the Cluster Instrument","Hamilton MJ.","Dig Dis Sci. 2023 Apr 18. doi: 10.1007/s10620-023-07923-3. Online ahead of print.","Hamilton MJ","Dig Dis Sci","2023","2023/04/18","","","10.1007/s10620-023-07923-3"
"37065906","Comparison of two diagnostic criteria in the diagnosis of anaphylaxis in a tertiary adult allergy clinic","Çolak S, Erkoç M, Sin BA, Bavbek S.","World Allergy Organ J. 2023 Apr 1;16(3):100761. doi: 10.1016/j.waojou.2023.100761. eCollection 2023 Mar.","Çolak S","World Allergy Organ J","2023","2023/04/17","PMC10090707","","10.1016/j.waojou.2023.100761"
"37029308","Cluster-Analytic Identification of Clinically Meaningful Subtypes in MCAS: The Relevance of Heat and Cold","Häder T, Molderings GJ, Klawonn F, Conrad R, Mücke M, Sellin J.","Dig Dis Sci. 2023 Apr 8. doi: 10.1007/s10620-023-07921-5. Online ahead of print.","Häder T","Dig Dis Sci","2023","2023/04/07","","","10.1007/s10620-023-07921-5"
"37025251","A quarter of a century fundamental and translational research in perioperative hypersensitivity and anaphylaxis at the Antwerp university hospital, a Belgian Centre of Excellence of the World Allergy Organization","Ebo DG, Vlaeminck N, van der Poorten MM, Elst J, Toscano A, Van Gasse AL, Hagendorens MM, Aerts S, Adriaensens I, Saldien V, Sabato V.","World Allergy Organ J. 2023 Mar 30;16(3):100759. doi: 10.1016/j.waojou.2023.100759. eCollection 2023 Mar.","Ebo DG","World Allergy Organ J","2023","2023/04/07","PMC10070178","","10.1016/j.waojou.2023.100759"
"36980550","Mast Cell Leukemia: An Update with a Practical Review","Zanelli M, Quintini M, Magnasco S, Aprile L, Palicelli A, Zizzo M, Sanguedolce F, Ricci S, Pancetti S, Zuccalà V, Martino V, Broggi G, Caltabiano R, Cavazza A, Parente P, Mecucci C, Martino G, Ascani S.","Cancers (Basel). 2023 Mar 8;15(6):1664. doi: 10.3390/cancers15061664.","Zanelli M","Cancers (Basel)","2023","2023/03/29","PMC10046872","","10.3390/cancers15061664"
"36895976","Antineoplastic efficacy profiles of avapritinib and nintedanib in KIT D816V(+) systemic mastocytosis: a preclinical study","Degenfeld-Schonburg L, Gamperl S, Stefanzl G, Schruef AK, Sadovnik I, Bauer K, Smiljkovic D, Eisenwort G, Peter B, Greiner G, Hadzijusufovic E, Schwaab J, Sperr WR, Hoermann G, Kopanja S, Szépfalusi Z, Hoetzenecker K, Jaksch P, Reiter A, Arock M, Valent P.","Am J Cancer Res. 2023 Feb 15;13(2):355-378. eCollection 2023.","Degenfeld-Schonburg L","Am J Cancer Res","2023","2023/03/10","PMC9989615","",""
"36894973","SETD2 non genomic loss of function in advanced systemic mastocytosis is mediated by an Aurora kinase A/MDM2 axis and can be therapeutically targeted","Mancini M, Monaldi C, De Santis S, Papayannidis C, Rondoni M, Sartor C, Bruno S, Pagano L, Criscuolo M, Zanotti R, Bonifacio M, Tosi P, Arock M, Valent P, Cavo M, Soverini S.","Biomark Res. 2023 Mar 10;11(1):29. doi: 10.1186/s40364-023-00468-7.","Mancini M","Biomark Res","2023","2023/03/09","PMC9999558","","10.1186/s40364-023-00468-7"
"36624467","Validation of an anti-α-Gal IgE fluoroenzyme-immunoassay for the screening of patients at risk of severe anaphylaxis to cetuximab","Serrier J, Davy JB, Dupont B, Clarisse B, Parienti JJ, Petit G, Khoy K, Ollivier Y, Gervais R, Mariotte D, Le Mauff B.","BMC Cancer. 2023 Jan 9;23(1):32. doi: 10.1186/s12885-023-10501-5.","Serrier J","BMC Cancer","2023","2023/01/09","PMC9827640","","10.1186/s12885-023-10501-5"
"36485101","How to evaluate the patient with a suspected mast cell disorder and how/when to manage symptoms","Akin C.","Hematology Am Soc Hematol Educ Program. 2022 Dec 9;2022(1):55-63. doi: 10.1182/hematology.2022000366.","Akin C","Hematology Am Soc Hematol Educ Program","2022","2022/12/09","PMC9820312","","10.1182/hematology.2022000366"
"36467524","New Biomarkers in Anaphylaxis (Beyond Tryptase)","Galvan-Blasco P, Gil-Serrano J, Sala-Cunill A.","Curr Treat Options Allergy. 2022;9(4):303-322. doi: 10.1007/s40521-022-00326-1. Epub 2022 Nov 28.","Galvan-Blasco P","Curr Treat Options Allergy","2022","2022/12/05","PMC9702867","","10.1007/s40521-022-00326-1"
"36444545","Causes and Diagnostic Usefulness of Tryptase Measurements for Anaphylaxis in a Korean Tertiary Care General Hospital","Liang L, Park KH, Lee JH, Park JW.","Yonsei Med J. 2022 Dec;63(12):1099-1105. doi: 10.3349/ymj.2022.0172.","Liang L","Yonsei Med J","2022","2022/11/29","PMC9760889","","10.3349/ymj.2022.0172"
"36074973","Sinus Tachycardia: a Multidisciplinary Expert Focused Review","Mayuga KA, Fedorowski A, Ricci F, Gopinathannair R, Dukes JW, Gibbons C, Hanna P, Sorajja D, Chung M, Benditt D, Sheldon R, Ayache MB, AbouAssi H, Shivkumar K, Grubb BP, Hamdan MH, Stavrakis S, Singh T, Goldberger JJ, Muldowney JAS 3rd, Belham M, Kem DC, Akin C, Bruce BK, Zahka NE, Fu Q, Van Iterson EH, Raj SR, Fouad-Tarazi F, Goldstein DS, Stewart J, Olshansky B.","Circ Arrhythm Electrophysiol. 2022 Sep;15(9):e007960. doi: 10.1161/CIRCEP.121.007960. Epub 2022 Sep 8.","Mayuga KA","Circ Arrhythm Electrophysiol","2022","2022/09/08","PMC9523592","NIHMS1830947","10.1161/CIRCEP.121.007960"
"36003410","Allergy, inflammation, hepatopathy and coagulation biomarkers in dogs with suspected anaphylaxis due to insect envenomation","Turner K, Boyd C, Rossi G, Sharp CR, Claus MA, Francis A, Smart L.","Front Vet Sci. 2022 Aug 8;9:875339. doi: 10.3389/fvets.2022.875339. eCollection 2022.","Turner K","Front Vet Sci","2022","2022/08/25","PMC9393546","","10.3389/fvets.2022.875339"
"35906626","Health-related quality of life and health literacy in patients with systemic mastocytosis and mast cell activation syndrome","Schmidt TJ, Sellin J, Molderings GJ, Conrad R, Mücke M.","Orphanet J Rare Dis. 2022 Jul 29;17(1):295. doi: 10.1186/s13023-022-02439-x.","Schmidt TJ","Orphanet J Rare Dis","2022","2022/07/29","PMC9336039","","10.1186/s13023-022-02439-x"
"35655287","Honey bee venom re-challenge during specific immunotherapy: prolonged cardio-pulmonary resuscitation allowed survival in a case of near fatal anaphylaxis","Micaletto S, Ruetzler K, Bruesch M, Schmid-Grendelmeier P.","Allergy Asthma Clin Immunol. 2022 Jun 2;18(1):44. doi: 10.1186/s13223-022-00687-x.","Micaletto S","Allergy Asthma Clin Immunol","2022","2022/06/02","PMC9164337","","10.1186/s13223-022-00687-x"
"35605594","Mast Cell Activation Syndromes: Collegium Internationale Allergologicum Update 2022","Valent P, Hartmann K, Bonadonna P, Niedoszytko M, Triggiani M, Arock M, Brockow K.","Int Arch Allergy Immunol. 2022;183(7):693-705. doi: 10.1159/000524532. Epub 2022 May 23.","Valent P","Int Arch Allergy Immunol","2022","2022/05/23","PMC9393812","","10.1159/000524532"
"35449490","Association of mast-cell-related conditions with hypermobile syndromes: a review of the literature","Monaco A, Choi D, Uzun S, Maitland A, Riley B.","Immunol Res. 2022 Aug;70(4):419-431. doi: 10.1007/s12026-022-09280-1. Epub 2022 Apr 21.","Monaco A","Immunol Res","2022","2022/04/22","PMC9022617","","10.1007/s12026-022-09280-1"
"35032694","Elevated Basal Serum Tryptase: Disease Distribution and Variability in a Regional Health System","Waters AM, Park HJ, Weskamp AL, Mateja A, Kachur ME, Lyons JJ, Rosen BJ, Boggs NA.","J Allergy Clin Immunol Pract. 2022 Sep;10(9):2424-2435.e5. doi: 10.1016/j.jaip.2021.12.031. Epub 2022 Jan 12.","Waters AM","J Allergy Clin Immunol Pract","2022","2022/01/15","PMC9273808","NIHMS1780697","10.1016/j.jaip.2021.12.031"
