PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30737190","Proposed Diagnostic Algorithm for Patients with Suspected Mast Cell Activation Syndrome","Valent P, Akin C, Bonadonna P, Hartmann K, Brockow K, Niedoszytko M, Nedoszytko B, Siebenhaar F, Sperr WR, Oude Elberink JNG, Butterfield JH, Alvarez-Twose I, Sotlar K, Reiter A, Kluin-Nelemans HC, Hermine O, Gotlib J, Broesby-Olsen S, Orfao A, Horny HP, Triggiani M, Arock M, Schwartz LB, Metcalfe DD.","J Allergy Clin Immunol Pract. 2019 Apr;7(4):1125-1133.e1. doi: 10.1016/j.jaip.2019.01.006. Epub 2019 Feb 5.","Valent P","J Allergy Clin Immunol Pract","2019","2019/02/10","PMC6643056","NIHMS1518625","10.1016/j.jaip.2019.01.006"
"37108232","Secretory and Membrane-Associated Biomarkers of Mast Cell Activation and Proliferation","Parente R, Giudice V, Cardamone C, Serio B, Selleri C, Triggiani M.","Int J Mol Sci. 2023 Apr 11;24(8):7071. doi: 10.3390/ijms24087071.","Parente R","Int J Mol Sci","2023","2023/04/28","PMC10139107","","10.3390/ijms24087071"
"37108184","The Role of Mast Cells in the Induction and Maintenance of Inflammation in Selected Skin Diseases","Woźniak E, Owczarczyk-Saczonek A, Lange M, Czarny J, Wygonowska E, Placek W, Nedoszytko B.","Int J Mol Sci. 2023 Apr 10;24(8):7021. doi: 10.3390/ijms24087021.","Woźniak E","Int J Mol Sci","2023","2023/04/28","PMC10139379","","10.3390/ijms24087021"
"37029308","Cluster-Analytic Identification of Clinically Meaningful Subtypes in MCAS: The Relevance of Heat and Cold","Häder T, Molderings GJ, Klawonn F, Conrad R, Mücke M, Sellin J.","Dig Dis Sci. 2023 Apr 8. doi: 10.1007/s10620-023-07921-5. Online ahead of print.","Häder T","Dig Dis Sci","2023","2023/04/07","","","10.1007/s10620-023-07921-5"
"36709101","[Chinese guidelines for diagnosis and treatment of systemic mastocytosis in adult patients (2022)]","Laboratory Diagnosis Group, Chinese Society of Hematology, Chinese Medical Association; Mastocytosis Collaborative Network of China.","Zhonghua Xue Ye Xue Za Zhi. 2022 Dec 14;43(12):969-978. doi: 10.3760/cma.j.issn.0253-2727.2022.12.001.","Laboratory Diagnosis Group, Chinese Society of Hematology, Chinese Medical Association","Zhonghua Xue Ye Xue Za Zhi","2022","2023/01/28","PMC9939335","","10.3760/cma.j.issn.0253-2727.2022.12.001"
"36555942","Management of Adult Patients with Gastrointestinal Symptoms from Food Hypersensitivity-Narrative Review","Kanikowska A, Janisz S, Mańkowska-Wierzbicka D, Gabryel M, Dobrowolska A, Eder P.","J Clin Med. 2022 Dec 9;11(24):7326. doi: 10.3390/jcm11247326.","Kanikowska A","J Clin Med","2022","2022/12/23","PMC9784954","","10.3390/jcm11247326"
"36430941","Human Lung Mast Cells: Therapeutic Implications in Asthma","Poto R, Criscuolo G, Marone G, Brightling CE, Varricchi G.","Int J Mol Sci. 2022 Nov 21;23(22):14466. doi: 10.3390/ijms232214466.","Poto R","Int J Mol Sci","2022","2022/11/26","PMC9693207","","10.3390/ijms232214466"
"36074973","Sinus Tachycardia: a Multidisciplinary Expert Focused Review","Mayuga KA, Fedorowski A, Ricci F, Gopinathannair R, Dukes JW, Gibbons C, Hanna P, Sorajja D, Chung M, Benditt D, Sheldon R, Ayache MB, AbouAssi H, Shivkumar K, Grubb BP, Hamdan MH, Stavrakis S, Singh T, Goldberger JJ, Muldowney JAS 3rd, Belham M, Kem DC, Akin C, Bruce BK, Zahka NE, Fu Q, Van Iterson EH, Raj SR, Fouad-Tarazi F, Goldstein DS, Stewart J, Olshansky B.","Circ Arrhythm Electrophysiol. 2022 Sep;15(9):e007960. doi: 10.1161/CIRCEP.121.007960. Epub 2022 Sep 8.","Mayuga KA","Circ Arrhythm Electrophysiol","2022","2022/09/08","PMC9523592","NIHMS1830947","10.1161/CIRCEP.121.007960"
"35884535","Systemic Mastocytosis and Other Entities Involving Mast Cells: A Practical Review and Update","El Hussein S, Chifotides HT, Khoury JD, Verstovsek S, Thakral B.","Cancers (Basel). 2022 Jul 17;14(14):3474. doi: 10.3390/cancers14143474.","El Hussein S","Cancers (Basel)","2022","2022/07/27","PMC9322501","","10.3390/cancers14143474"
"35841381","Personalized diagnostic approach and indirect quantification of extravasation in human anaphylaxis","Nuñez-Borque E, Betancor D, Pastor-Vargas C, Fernández-Bravo S, Martin-Blazquez A, Casado-Navarro N, López-Domínguez D, Gómez-López A, Rodriguez Del Rio P, Tramón P, Beitia JM, Moreno-Aguilar C, González-de-Olano D, Goikoetxea MJ, Ibáñez-Sandín MD, Laguna JJ, Cuesta-Herranz J, Esteban V.","Allergy. 2023 Jan;78(1):202-213. doi: 10.1111/all.15443. Epub 2022 Jul 27.","Nuñez-Borque E","Allergy","2023","2022/07/16","PMC10087983","","10.1111/all.15443"
