PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29225779","Risk of solid cancer in patients with mast cell activation syndrome: Results from Germany and USA","Molderings GJ, Zienkiewicz T, Homann J, Menzen M, Afrin LB.","F1000Res. 2017 Oct 26;6:1889. doi: 10.12688/f1000research.12730.1. eCollection 2017.","Molderings GJ","F1000Res","2017","2017/12/12","PMC5710302","","10.12688/f1000research.12730.1"
"37029308","Cluster-Analytic Identification of Clinically Meaningful Subtypes in MCAS: The Relevance of Heat and Cold","Häder T, Molderings GJ, Klawonn F, Conrad R, Mücke M, Sellin J.","Dig Dis Sci. 2023 Apr 8. doi: 10.1007/s10620-023-07921-5. Online ahead of print.","Häder T","Dig Dis Sci","2023","2023/04/07","","","10.1007/s10620-023-07921-5"
"36981522","A Case Study of Successful Application of the Principles of ME/CFS Care to an Individual with Long COVID","Petracek LS, Broussard CA, Swope RL, Rowe PC.","Healthcare (Basel). 2023 Mar 16;11(6):865. doi: 10.3390/healthcare11060865.","Petracek LS","Healthcare (Basel)","2023","2023/03/29","PMC10048325","","10.3390/healthcare11060865"
"36644179","Mast cell chymase is in contact with melanoma cells in vivo and it detaches melanoma cells from the substratum in vitro","Siiskonen H, Harvima IT.","Transl Cancer Res. 2022 Dec;11(12):4315-4325. doi: 10.21037/tcr-22-1688.","Siiskonen H","Transl Cancer Res","2022","2023/01/16","PMC9834600","","10.21037/tcr-22-1688"
"36232398","Mast Cells and Dendritic Cells as Cellular Immune Checkpoints in Immunotherapy of Solid Tumors","Kalkusova K, Smite S, Darras E, Taborska P, Stakheev D, Vannucci L, Bartunkova J, Smrz D.","Int J Mol Sci. 2022 Sep 21;23(19):11080. doi: 10.3390/ijms231911080.","Kalkusova K","Int J Mol Sci","2022","2022/10/14","PMC9569882","","10.3390/ijms231911080"
"36074676","Mast cell density in the primary tumor predicts lymph node metastases in patients with breast cancer","Floroni E, Ceauşu AR, Cosoroabă RM, Niculescu Talpoş IC, Popovici RA, Gaje NP, Raica M.","Rom J Morphol Embryol. 2022 Jan-Mar;63(1):129-135. doi: 10.47162/RJME.63.1.13.","Floroni E","Rom J Morphol Embryol","2022","2022/09/08","PMC9593109","","10.47162/RJME.63.1.13"
"36018370","PD-1(+) mast cell enhanced by PD-1 blocking therapy associated with resistance to immunotherapy","Li J, Peng G, Zhu K, Jie X, Xu Y, Rao X, Xu Y, Chen Y, Xing B, Wu G, Shi L.","Cancer Immunol Immunother. 2023 Mar;72(3):633-645. doi: 10.1007/s00262-022-03282-6. Epub 2022 Aug 26.","Li J","Cancer Immunol Immunother","2023","2022/08/26","PMC9947072","","10.1007/s00262-022-03282-6"
"35646079","The Landscape of the Tumor-Infiltrating Immune Cell and Prognostic Nomogram in Colorectal Cancer","Zhong J, Qin Y, Yu P, Xia W, Gu B, Qian X, Hu Y, Su W, Zhang Z.","Front Genet. 2022 May 12;13:891270. doi: 10.3389/fgene.2022.891270. eCollection 2022.","Zhong J","Front Genet","2022","2022/06/01","PMC9133796","","10.3389/fgene.2022.891270"
"35045983","Few, but Efficient: The Role of Mast Cells in Breast Cancer and Other Solid Tumors","Majorini MT, Colombo MP, Lecis D.","Cancer Res. 2022 Apr 15;82(8):1439-1447. doi: 10.1158/0008-5472.CAN-21-3424.","Majorini MT","Cancer Res","2022","2022/01/20","PMC9306341","","10.1158/0008-5472.CAN-21-3424"
"34613934","Low expression of endoplasmic reticulum stress-related gene SERP1 is associated with poor prognosis and immune infiltration in skin cutaneous melanoma","Fan Y, Liang X, Yu D.","Aging (Albany NY). 2021 Oct 5;13(19):23036-23071. doi: 10.18632/aging.203594. Epub 2021 Oct 5.","Fan Y","Aging (Albany NY)","2021","2021/10/06","PMC8544316","","10.18632/aging.203594"
"34378323","Histamine signaling and metabolism identify potential biomarkers and therapies for lymphangioleiomyomatosis","Herranz C, Mateo F, Baiges A, Ruiz de Garibay G, Junza A, Johnson SR, Miller S, García N, Capellades J, Gómez A, Vidal A, Palomero L, Espín R, Extremera AI, Blommaert E, Revilla-López E, Saez B, Gómez-Ollés S, Ancochea J, Valenzuela C, Alonso T, Ussetti P, Laporta R, Xaubet A, Rodríguez-Portal JA, Montes-Worboys A, Machahua C, Bordas J, Menendez JA, Cruzado JM, Guiteras R, Bontoux C, La Motta C, Noguera-Castells A, Mancino M, Lastra E, Rigo-Bonnin R, Perales JC, Viñals F, Lahiguera A, Zhang X, Cuadras D, van Moorsel CHM, van der Vis JJ, Quanjel MJR, Filippakis H, Hakem R, Gorrini C, Ferrer M, Ugun-Klusek A, Billett E, Radzikowska E, Casanova Á, Molina-Molina M, Roman A, Yanes O, Pujana MA.","EMBO Mol Med. 2021 Sep 7;13(9):e13929. doi: 10.15252/emmm.202113929. Epub 2021 Aug 11.","Herranz C","EMBO Mol Med","2021","2021/08/11","PMC8422079","","10.15252/emmm.202113929"
"33936222","Survey of Mast Cell Density in Transitional Cell Carcinoma","Moradi Tabriz H, Obohat M, Vahedifard F, Eftekharjavadi A.","Iran J Pathol. 2021 Spring;16(2):119-127. doi: 10.30699/IJP.2020.123562.2345. Epub 2020 Dec 20.","Moradi Tabriz H","Iran J Pathol","2021","2021/05/03","PMC8085279","","10.30699/IJP.2020.123562.2345"
"33708774","Fetal-Derived Immune Cells at the Roots of Lifelong Pathophysiology","Mass E, Gentek R.","Front Cell Dev Biol. 2021 Feb 23;9:648313. doi: 10.3389/fcell.2021.648313. eCollection 2021.","Mass E","Front Cell Dev Biol","2021","2021/03/12","PMC7940384","","10.3389/fcell.2021.648313"
"33032491","Safe administration of chemotherapy in mast cell activation syndrome","Lythgoe MP, Krell J, McNeish IA, Tookman L.","J Oncol Pharm Pract. 2021 Jun;27(4):1005-1010. doi: 10.1177/1078155220953879. Epub 2020 Oct 9.","Lythgoe MP","J Oncol Pharm Pract","2021","2020/10/09","PMC8193587","","10.1177/1078155220953879"
"32328892","Mast Cell Activation Syndrome: A Primer for the Gastroenterologist","Weinstock LB, Pace LA, Rezaie A, Afrin LB, Molderings GJ.","Dig Dis Sci. 2021 Apr;66(4):965-982. doi: 10.1007/s10620-020-06264-9. Epub 2020 Apr 23.","Weinstock LB","Dig Dis Sci","2021","2020/04/25","","","10.1007/s10620-020-06264-9"
"31850121","Melanoma and Mastocytosis","Vojvodic A, Vlaskovic-Jovicevic T, Vojvodic P, Vojvodic J, Goldust M, Peric-Hajzler Z, Matovic D, Sijan G, Stepic N, Wollina U, Fioranelli M, Tirant M, Nguyen VT, Lotti T.","Open Access Maced J Med Sci. 2019 Aug 30;7(18):3050-3052. doi: 10.3889/oamjms.2019.772. eCollection 2019 Sep 30.","Vojvodic A","Open Access Maced J Med Sci","2019","2019/12/19","PMC6910818","","10.3889/oamjms.2019.772"
"31256327","Role of Mast Cells in Shaping the Tumor Microenvironment","Komi DEA, Redegeld FA.","Clin Rev Allergy Immunol. 2020 Jun;58(3):313-325. doi: 10.1007/s12016-019-08753-w.","Komi DEA","Clin Rev Allergy Immunol","2020","2019/07/01","PMC7244463","","10.1007/s12016-019-08753-w"
