PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32324159","Diagnosis of mast cell activation syndrome: a global ""consensus-2""","Afrin LB, Ackerley MB, Bluestein LS, Brewer JH, Brook JB, Buchanan AD, Cuni JR, Davey WP, Dempsey TT, Dorff SR, Dubravec MS, Guggenheim AG, Hindman KJ, Hoffman B, Kaufman DL, Kratzer SJ, Lee TM, Marantz MS, Maxwell AJ, McCann KK, McKee DL, Menk Otto L, Pace LA, Perkins DD, Radovsky L, Raleigh MS, Rapaport SA, Reinhold EJ, Renneker ML, Robinson WA, Roland AM, Rosenbloom ES, Rowe PC, Ruhoy IS, Saperstein DS, Schlosser DA, Schofield JR, Settle JE, Weinstock LB, Wengenroth M, Westaway M, Xi SC, Molderings GJ.","Diagnosis (Berl). 2020 Apr 22;8(2):137-152. doi: 10.1515/dx-2020-0005. Print 2021 May 26.","Afrin LB","Diagnosis (Berl)","2020","2020/04/24","","","10.1515/dx-2020-0005"
"37255928","Autoimmunity in Long Covid and POTS","El-Rhermoul FZ, Fedorowski A, Eardley P, Taraborrelli P, Panagopoulos D, Sutton R, Lim PB, Dani M.","Oxf Open Immunol. 2023 Mar 8;4(1):iqad002. doi: 10.1093/oxfimm/iqad002. eCollection 2023.","El-Rhermoul FZ","Oxf Open Immunol","2023","2023/05/31","PMC10224806","","10.1093/oxfimm/iqad002"
"37071243","Addressing Controversies in Mast Cell Activation Syndrome: Analysis Using the Cluster Instrument","Hamilton MJ.","Dig Dis Sci. 2023 Apr 18. doi: 10.1007/s10620-023-07923-3. Online ahead of print.","Hamilton MJ","Dig Dis Sci","2023","2023/04/18","","","10.1007/s10620-023-07923-3"
"37029308","Cluster-Analytic Identification of Clinically Meaningful Subtypes in MCAS: The Relevance of Heat and Cold","Häder T, Molderings GJ, Klawonn F, Conrad R, Mücke M, Sellin J.","Dig Dis Sci. 2023 Apr 8. doi: 10.1007/s10620-023-07921-5. Online ahead of print.","Häder T","Dig Dis Sci","2023","2023/04/07","","","10.1007/s10620-023-07921-5"
"36981522","A Case Study of Successful Application of the Principles of ME/CFS Care to an Individual with Long COVID","Petracek LS, Broussard CA, Swope RL, Rowe PC.","Healthcare (Basel). 2023 Mar 16;11(6):865. doi: 10.3390/healthcare11060865.","Petracek LS","Healthcare (Basel)","2023","2023/03/29","PMC10048325","","10.3390/healthcare11060865"
"36555942","Management of Adult Patients with Gastrointestinal Symptoms from Food Hypersensitivity-Narrative Review","Kanikowska A, Janisz S, Mańkowska-Wierzbicka D, Gabryel M, Dobrowolska A, Eder P.","J Clin Med. 2022 Dec 9;11(24):7326. doi: 10.3390/jcm11247326.","Kanikowska A","J Clin Med","2022","2022/12/23","PMC9784954","","10.3390/jcm11247326"
"36485101","How to evaluate the patient with a suspected mast cell disorder and how/when to manage symptoms","Akin C.","Hematology Am Soc Hematol Educ Program. 2022 Dec 9;2022(1):55-63. doi: 10.1182/hematology.2022000366.","Akin C","Hematology Am Soc Hematol Educ Program","2022","2022/12/09","PMC9820312","","10.1182/hematology.2022000366"
"36232895","Inhibition of Complex I of the Respiratory Chain, but Not Complex III, Attenuates Degranulation and Cytokine Secretion in Human Skin Mast Cells","Buttgereit T, Pfeiffenberger M, Frischbutter S, Krauß PL, Chen Y, Maurer M, Buttgereit F, Gaber T.","Int J Mol Sci. 2022 Sep 30;23(19):11591. doi: 10.3390/ijms231911591.","Buttgereit T","Int J Mol Sci","2022","2022/10/14","PMC9570238","","10.3390/ijms231911591"
"36160431","Osthole: An up-to-date review of its anticancer potential and mechanisms of action","Yang S, Dai W, Wang J, Zhang X, Zheng Y, Bi S, Pang L, Ren T, Yang Y, Sun Y, Zheng Z, Wu S, Kong J.","Front Pharmacol. 2022 Sep 7;13:945627. doi: 10.3389/fphar.2022.945627. eCollection 2022.","Yang S","Front Pharmacol","2022","2022/09/26","PMC9490127","","10.3389/fphar.2022.945627"
"36074973","Sinus Tachycardia: a Multidisciplinary Expert Focused Review","Mayuga KA, Fedorowski A, Ricci F, Gopinathannair R, Dukes JW, Gibbons C, Hanna P, Sorajja D, Chung M, Benditt D, Sheldon R, Ayache MB, AbouAssi H, Shivkumar K, Grubb BP, Hamdan MH, Stavrakis S, Singh T, Goldberger JJ, Muldowney JAS 3rd, Belham M, Kem DC, Akin C, Bruce BK, Zahka NE, Fu Q, Van Iterson EH, Raj SR, Fouad-Tarazi F, Goldstein DS, Stewart J, Olshansky B.","Circ Arrhythm Electrophysiol. 2022 Sep;15(9):e007960. doi: 10.1161/CIRCEP.121.007960. Epub 2022 Sep 8.","Mayuga KA","Circ Arrhythm Electrophysiol","2022","2022/09/08","PMC9523592","NIHMS1830947","10.1161/CIRCEP.121.007960"
"36043493","The potential role of ischaemia-reperfusion injury in chronic, relapsing diseases such as rheumatoid arthritis, Long COVID, and ME/CFS: evidence, mechanisms, and therapeutic implications","Kell DB, Pretorius E.","Biochem J. 2022 Aug 31;479(16):1653-1708. doi: 10.1042/BCJ20220154.","Kell DB","Biochem J","2022","2022/08/31","PMC9484810","","10.1042/BCJ20220154"
"35982335","Efficacy and toxicity of hydroxyurea in mast cell activation syndrome patients refractory to standard medical therapy: retrospective case series","Weinstock LB, Brook JB, Molderings GJ.","Naunyn Schmiedebergs Arch Pharmacol. 2022 Nov;395(11):1441-1447. doi: 10.1007/s00210-022-02282-8. Epub 2022 Aug 19.","Weinstock LB","Naunyn Schmiedebergs Arch Pharmacol","2022","2022/08/18","PMC9388361","","10.1007/s00210-022-02282-8"
"35906626","Health-related quality of life and health literacy in patients with systemic mastocytosis and mast cell activation syndrome","Schmidt TJ, Sellin J, Molderings GJ, Conrad R, Mücke M.","Orphanet J Rare Dis. 2022 Jul 29;17(1):295. doi: 10.1186/s13023-022-02439-x.","Schmidt TJ","Orphanet J Rare Dis","2022","2022/07/29","PMC9336039","","10.1186/s13023-022-02439-x"
"35566253","The Pathophysiology of Long COVID throughout the Renin-Angiotensin System","Khazaal S, Harb J, Rima M, Annweiler C, Wu Y, Cao Z, Abi Khattar Z, Legros C, Kovacic H, Fajloun Z, Sabatier JM.","Molecules. 2022 May 2;27(9):2903. doi: 10.3390/molecules27092903.","Khazaal S","Molecules","2022","2022/05/14","PMC9101946","","10.3390/molecules27092903"
"35449490","Association of mast-cell-related conditions with hypermobile syndromes: a review of the literature","Monaco A, Choi D, Uzun S, Maitland A, Riley B.","Immunol Res. 2022 Aug;70(4):419-431. doi: 10.1007/s12026-022-09280-1. Epub 2022 Apr 21.","Monaco A","Immunol Res","2022","2022/04/22","PMC9022617","","10.1007/s12026-022-09280-1"
"35287333","Long-Term COVID 19 Sequelae in Adolescents: the Overlap with Orthostatic Intolerance and ME/CFS","Morrow AK, Malone LA, Kokorelis C, Petracek LS, Eastin EF, Lobner KL, Neuendorff L, Rowe PC.","Curr Pediatr Rep. 2022;10(2):31-44. doi: 10.1007/s40124-022-00261-4. Epub 2022 Mar 9.","Morrow AK","Curr Pediatr Rep","2022","2022/03/15","PMC8906524","","10.1007/s40124-022-00261-4"
"35283537","Experimental Search for New Means of Pathogenetic Therapy COVID-19: Inhibitor of H2-Receptors Famotidine Increases the Effect of Oseltamivir on Survival and Immune Status of Mice Infected by A/PR/8/34 (H1N1)","Goncharov NV, Vasilyev KA, Kudryavtsev IV, Avdonin PP, Belinskaia DA, Stukova MA, Shamova OV, Avdonin PV.","J Evol Biochem Physiol. 2022;58(1):230-246. doi: 10.1134/S0022093022010203. Epub 2022 Mar 5.","Goncharov NV","J Evol Biochem Physiol","2022","2022/03/14","PMC8897615","","10.1134/S0022093022010203"
"35174041","Evaluation and Classification of Mast Cell Disorders: A Difficult to Manage Pathology in Clinical Practice","Leru PM.","Cureus. 2022 Feb 13;14(2):e22177. doi: 10.7759/cureus.22177. eCollection 2022 Feb.","Leru PM","Cureus","2022","2022/02/17","PMC8841127","","10.7759/cureus.22177"
"35062788","Post-HPV-Vaccination Mast Cell Activation Syndrome: Possible Vaccine-Triggered Escalation of Undiagnosed Pre-Existing Mast Cell Disease?","Afrin LB, Dempsey TT, Weinstock LB.","Vaccines (Basel). 2022 Jan 16;10(1):127. doi: 10.3390/vaccines10010127.","Afrin LB","Vaccines (Basel)","2022","2022/01/22","PMC8779641","","10.3390/vaccines10010127"
"34866935","Impact of Comorbidities on the Prognosis of Pediatric Postural Tachycardia Syndrome","Wang Y, Du J, Li X, Liu P, Wang Y, Liao Y, Jin H.","Int J Gen Med. 2021 Nov 27;14:8945-8954. doi: 10.2147/IJGM.S339805. eCollection 2021.","Wang Y","Int J Gen Med","2021","2021/12/06","PMC8636694","","10.2147/IJGM.S339805"
"34681933","Mastocytosis and Mast Cell Activation Disorders: Clearing the Air","Jackson CW, Pratt CM, Rupprecht CP, Pattanaik D, Krishnaswamy G.","Int J Mol Sci. 2021 Oct 19;22(20):11270. doi: 10.3390/ijms222011270.","Jackson CW","Int J Mol Sci","2021","2021/10/23","PMC8540348","","10.3390/ijms222011270"
"34398691","Mast Cell Activation Disorder and Postural Orthostatic Tachycardia Syndrome: A Clinical Association","Kohno R, Cannom DS, Olshansky B, Xi SC, Krishnappa D, Adkisson WO, Norby FL, Fedorowski A, Benditt DG.","J Am Heart Assoc. 2021 Sep 7;10(17):e021002. doi: 10.1161/JAHA.121.021002. Epub 2021 Aug 16.","Kohno R","J Am Heart Assoc","2021","2021/08/16","PMC8649306","","10.1161/JAHA.121.021002"
"33996867","Adolescent and Young Adult ME/CFS After Confirmed or Probable COVID-19","Petracek LS, Suskauer SJ, Vickers RF, Patel NR, Violand RL, Swope RL, Rowe PC.","Front Med (Lausanne). 2021 Apr 29;8:668944. doi: 10.3389/fmed.2021.668944. eCollection 2021.","Petracek LS","Front Med (Lausanne)","2021","2021/05/17","PMC8116546","","10.3389/fmed.2021.668944"
"33925601","Mast Cells in the Skin: Defenders of Integrity or Offenders in Inflammation?","Voss M, Kotrba J, Gaffal E, Katsoulis-Dimitriou K, Dudeck A.","Int J Mol Sci. 2021 Apr 27;22(9):4589. doi: 10.3390/ijms22094589.","Voss M","Int J Mol Sci","2021","2021/04/30","PMC8123885","","10.3390/ijms22094589"
"33833683","COVID-19: Famotidine, Histamine, Mast Cells, and Mechanisms","Malone RW, Tisdall P, Fremont-Smith P, Liu Y, Huang XP, White KM, Miorin L, Moreno E, Alon A, Delaforge E, Hennecker CD, Wang G, Pottel J, Blair RV, Roy CJ, Smith N, Hall JM, Tomera KM, Shapiro G, Mittermaier A, Kruse AC, García-Sastre A, Roth BL, Glasspool-Malone J, Ricke DO.","Front Pharmacol. 2021 Mar 23;12:633680. doi: 10.3389/fphar.2021.633680. eCollection 2021.","Malone RW","Front Pharmacol","2021","2021/04/09","PMC8021898","","10.3389/fphar.2021.633680"
